order_id,created_at,customer_id,region,amount,status,return_flag
ORD-100003,2025-09-15 18:21:36,CUST-01027,east,702.16,Completed,false
ORD-100166,2025-08-19 21:49:43,CUST-01017,central,,Completed,false
ORD-100049,2025-09-11 18:00:48,CUST-01038,west,923.15,Completed,false
ORD-100010,2025-08-01 03:13:02,CUST-01022,north,765.50,Completed,false
ORD-100079,2025-09-29 17:45:09,CUST-01034,east,19.95,Completed,false
ORD-100056,2025-07-14 08:08:19,CUST-01019,south,431.49,Completed,false
ORD-100169,2025-07-17 19:42:48,CUST-01004,east,pending-calc,Completed,false
ORD-100134,2025-06-01 22:14:45,CUST-01044,west,250.18,Completed,false
ORD-100120,2025-09-11 19:22:36,CUST-01049,south,765.02,Completed,false
ORD-100072,2025-07-27 07:12:18,CUST-01014,west,593.09,Completed,false
ORD-100055,2025-07-06 15:51:30,CUST-01005,west,676.45,Completed,false
ORD-100062,2025-08-06 14:19:56,CUST-01057,west,176.17,Completed,false
ORD-100151,2025-08-21 05:28:12,CUST-01001,west,326.61,Pending,false
ORD-100025,2025-09-26 09:18:16,CUST-01009,west,326.86,Completed,false
ORD-100073,2025-09-19 06:17:14,CUST-01055,east,40.08,Completed,false
ORD-100161,2025-13-45,CUST-01056,south,153.78,Completed,false
ORD-100058,2025-08-26 23:06:15,CUST-01051,central,608.22,Completed,false
ORD-100100,2025-08-22 08:58:00,CUST-01058,south,154.94,Completed,false
ORD-100163,2025-09-01 04:19:47,CUST-01043,east,TBD,Completed,false
ORD-100160,TBD,CUST-01013,south,242.06,Completed,false
ORD-100050,2025-08-06 14:07:35,CUST-01036,south,553.41,Completed,false
ORD-100089,2025-08-25 06:32:41,CUST-01043,north,149.19,Completed,false
ORD-100021,2025-07-28 10:36:23,CUST-01031,west,109.64,Completed,false
ORD-100041,2025-09-17 20:33:57,CUST-01046,central,204.78,Completed,false
ORD-100004,2025-07-01 16:25:15,CUST-01029,south,423.15,Completed,false
ORD-100167,2025-08-01 00:25:58,CUST-01047,east,---,Completed,false
ORD-100132,2025-04-30 17:02:07,CUST-01041,south,452.35,Completed,false
ORD-100008,2025-07-06 17:38:05,CUST-01007,north,723.57,Completed,false
ORD-100038,2025-07-09 04:21:16,CUST-01044,south,517.77,Completed,false
ORD-100094,2025-09-20 00:35:21,CUST-01034,south,652.47,Completed,false
ORD-100067,2025-08-18 15:36:44,CUST-01003,south,953.21,Completed,false
ORD-100147,2025-07-02 07:09:21,CUST-01050,south,72.88,Pending,false
ORD-100029,2025-09-13 16:17:06,CUST-01005,central,550.39,Completed,false
ORD-100071,2025-09-09 10:10:59,CUST-01002,west,210.41,Completed,false
ORD-100162,,CUST-01049,south,583.09,Completed,false
ORD-100042,2025-08-11 19:11:24,CUST-01051,south,658.56,Completed,false
ORD-100009,2025-08-25 04:48:33,CUST-01022,west,823.43,Completed,false
ORD-100097,2025-09-20 17:11:21,CUST-01059,east,766.68,Completed,false
ORD-100150,2025-07-31 13:38:02,CUST-01014,north,59.39,Pending,false
ORD-100122,2025-06-18 05:06:58,CUST-01026,central,553.56,Completed,false
ORD-100034,2025-08-06 19:08:53,CUST-01048,central,621.61,Completed,false
ORD-100128,2025-05-24 08:24:59,CUST-01032,west,510.06,Completed,false
ORD-100075,2025-08-20 16:32:49,CUST-01029,north,699.46,Completed,false
ORD-100051,2025-07-22 08:11:16,CUST-01011,south,187.15,Completed,false
ORD-100127,2025-04-07 17:40:57,CUST-01003,west,116.81,Completed,false
ORD-100096,2025-08-03 09:46:15,CUST-01033,west,767.77,Completed,false
ORD-100025,2025-08-21 05:05:52,CUST-01045,east,296.87,Completed,false
ORD-100077,2025-07-24 08:34:58,CUST-01012,north,746.91,Completed,false
ORD-100086,2025-09-09 23:58:33,CUST-01016,central,274.97,Completed,false
ORD-100060,2025-09-13 18:21:15,CUST-01030,east,683.08,Completed,false
ORD-100063,2025-07-05 05:10:42,CUST-01053,north,735.44,Completed,false
ORD-100121,2025-06-05 03:42:31,CUST-01054,east,482.93,Completed,false
ORD-100119,2025-07-11 04:39:46,CUST-01023,south,939.82,Completed,false
ORD-100026,2025-09-15 00:22:16,CUST-01038,east,852.29,Completed,false
ORD-100115,2025-07-20 20:50:03,CUST-01030,north,850.12,Completed,false
ORD-100156,2025-13-45,CUST-01003,south,396.19,Completed,false
ORD-100114,2025-09-23 12:50:38,CUST-01026,west,442.68,Completed,false
ORD-100015,2025-07-27 08:01:49,CUST-01040,north,807.99,Completed,false
ORD-100141,2025-07-03 22:26:40,CUST-01050,south,168.79,Completed,true
ORD-100111,2025-08-04 06:05:54,CUST-01002,central,979.93,Completed,false
ORD-100164,2025-09-01 06:04:05,CUST-01037,south,pending-calc,Completed,false
ORD-100031,2025-08-02 04:47:02,CUST-01055,east,79.35,Completed,false
ORD-100152,2025-09-08 07:57:59,CUST-01010,south,493.11,Pending,false
ORD-100113,2025-09-24 08:25:40,CUST-01040,east,770.40,Completed,false
ORD-100001,2025-07-16 14:10:41,CUST-01008,east,50.71,Completed,false
ORD-100105,2025-07-08 18:32:49,CUST-01034,central,919.03,Completed,false
ORD-100078,2025-08-24 03:22:31,CUST-01027,west,157.87,Completed,false
ORD-100040,2025-08-27 05:54:16,CUST-01045,central,245.33,Completed,false
ORD-100083,2025-08-01 05:50:23,CUST-01037,west,896.39,Completed,false
ORD-100066,2025-08-24 06:18:51,CUST-01038,north,862.84,Completed,false
ORD-100155,TBD,CUST-01041,west,544.70,Completed,false
ORD-100076,2025-07-18 02:41:48,CUST-01026,east,486.29,Completed,false
ORD-100107,2025-07-26 05:17:07,CUST-01027,east,915.77,Completed,false
ORD-100139,2025-09-13 05:09:57,CUST-01037,central,183.90,Completed,true
ORD-100153,2025-09-24 21:23:44,CUST-01005,north,159.33,Pending,false
